Round,Accuracy
1,12.675
2,20.066666666666666
3,22.391666666666666
4,33.09166666666667
5,30.808333333333334
6,38.9
7,40.05833333333333
8,46.833333333333336
9,53.391666666666666
10,51.59166666666667
11,53.391666666666666
12,50.49166666666667
13,55.96666666666667
14,54.983333333333334
15,58.00833333333333
16,60.84166666666667
17,60.40833333333333
18,61.125
19,62.61666666666667
20,61.03333333333333
21,60.875
22,61.833333333333336
23,62.141666666666666
24,64.45
25,64.025
26,64.20833333333333
27,65.95833333333333
28,64.96666666666667
29,63.90833333333333
30,63.80833333333333
31,64.75
32,66.925
33,66.26666666666667
34,68.075
35,67.85
36,68.33333333333333
37,68.83333333333333
38,66.48333333333333
39,66.56666666666666
40,64.75
41,67.75833333333334
42,67.95833333333333
43,67.21666666666667
44,68.64166666666667
45,70.275
46,66.84166666666667
47,68.69166666666666
48,67.95
49,65.6
50,66.39166666666667
51,67.83333333333333
52,67.58333333333333
53,68.00833333333334
54,68.99166666666666
55,69.0
56,68.675
57,69.30833333333334
58,69.34166666666667
59,68.975
60,68.475
61,67.35833333333333
62,67.65
63,68.36666666666666
64,66.475
65,67.39166666666667
66,68.34166666666667
67,69.53333333333333
68,68.49166666666666
69,68.63333333333334
70,68.99166666666666
71,69.21666666666667
72,68.96666666666667
73,69.10833333333333
74,66.86666666666666
75,68.16666666666667
76,67.70833333333333
77,67.88333333333334
78,69.15833333333333
79,68.95
80,68.75
81,67.5
82,67.50833333333334
83,68.06666666666666
84,68.09166666666667
85,66.78333333333333
86,67.16666666666667
87,66.075
88,65.31666666666666
89,65.18333333333334
90,65.03333333333333
91,65.65
92,63.641666666666666
93,63.55
94,64.29166666666667
95,63.416666666666664
96,63.333333333333336
97,63.766666666666666
98,63.075
99,62.68333333333333
100,62.13333333333333
101,61.85
102,62.38333333333333
103,61.575
104,61.275
105,60.975
106,62.416666666666664
107,60.94166666666667
108,60.225
109,59.8
110,61.09166666666667
111,60.825
112,58.56666666666667
113,60.24166666666667
114,59.75
115,59.46666666666667
116,60.40833333333333
117,59.175
118,59.675
119,58.85
120,59.858333333333334
121,61.358333333333334
122,59.916666666666664
123,61.025
124,59.541666666666664
125,59.075
126,58.916666666666664
127,59.925
128,59.833333333333336
129,61.725
130,63.03333333333333
131,63.208333333333336
132,63.958333333333336
133,64.775
134,63.666666666666664
135,61.99166666666667
136,62.733333333333334
137,63.63333333333333
138,63.625
139,62.983333333333334
140,62.983333333333334
141,62.88333333333333
142,64.0
143,62.86666666666667
144,62.925
145,62.266666666666666
146,62.4
147,62.65
148,62.86666666666667
149,62.28333333333333
150,62.1
151,63.53333333333333
152,63.916666666666664
153,63.53333333333333
154,60.65
155,61.608333333333334
156,63.166666666666664
157,63.5
158,64.13333333333334
159,64.65833333333333
160,64.075
161,65.2
162,63.03333333333333
163,64.54166666666667
164,64.03333333333333
165,65.025
166,64.95
167,64.65
168,65.125
169,66.05833333333334
170,66.03333333333333
171,65.31666666666666
172,65.50833333333334
173,63.958333333333336
174,64.475
175,65.18333333333334
176,65.4
177,65.10833333333333
178,65.26666666666667
179,66.11666666666666
180,66.58333333333333
181,67.38333333333334
182,66.75833333333334
183,66.65833333333333
184,66.70833333333333
185,66.625
186,65.94166666666666
187,66.36666666666666
188,66.00833333333334
189,65.68333333333334
190,66.46666666666667
191,66.70833333333333
192,65.56666666666666
193,65.55833333333334
194,65.14166666666667
195,65.125
196,65.46666666666667
197,64.59166666666667
198,63.4
199,62.775
200,62.666666666666664
