Round,Accuracy
1,25.566666666666666
2,37.24166666666667
3,42.608333333333334
4,49.233333333333334
5,54.041666666666664
6,57.791666666666664
7,61.608333333333334
8,64.45
9,67.0
10,68.54166666666667
11,69.475
12,70.0
13,70.79166666666667
14,71.44166666666666
15,72.0
16,72.71666666666667
17,73.04166666666667
18,73.81666666666666
19,74.51666666666667
20,74.88333333333334
21,75.41666666666667
22,76.03333333333333
23,76.76666666666667
24,76.925
25,77.11666666666666
26,77.275
27,78.05833333333334
28,78.38333333333334
29,78.91666666666667
30,79.43333333333334
31,79.68333333333334
32,80.18333333333334
33,80.68333333333334
34,81.125
35,81.33333333333333
36,81.61666666666666
37,81.875
38,82.20833333333333
39,82.51666666666667
40,82.85833333333333
41,83.06666666666666
42,83.375
43,83.66666666666667
44,83.86666666666666
45,84.06666666666666
46,84.375
47,84.625
48,84.88333333333334
49,84.98333333333333
50,85.08333333333333
51,85.2
52,85.35
53,85.50833333333334
54,85.63333333333334
55,85.75
56,85.9
57,86.0
58,86.08333333333333
59,86.15833333333333
60,86.225
61,86.29166666666667
62,86.29166666666667
63,86.33333333333333
64,86.425
65,86.54166666666667
66,86.60833333333333
67,86.65833333333333
68,86.71666666666667
69,86.8
70,86.80833333333334
71,86.89166666666667
72,86.90833333333333
73,87.0
74,87.05
75,87.09166666666667
76,87.125
77,87.16666666666667
78,87.23333333333333
79,87.30833333333334
80,87.31666666666666
81,87.33333333333333
82,87.375
83,87.44166666666666
84,87.48333333333333
85,87.51666666666667
86,87.55833333333334
87,87.59166666666667
88,87.65
89,87.675
90,87.7
91,87.73333333333333
92,87.81666666666666
93,87.84166666666667
94,87.88333333333334
95,87.925
96,87.99166666666666
97,88.0
98,88.04166666666667
99,88.09166666666667
100,88.11666666666666
101,88.11666666666666
102,88.14166666666667
103,88.15833333333333
104,88.2
105,88.23333333333333
106,88.28333333333333
107,88.31666666666666
108,88.34166666666667
109,88.375
110,88.40833333333333
111,88.40833333333333
112,88.425
113,88.46666666666667
114,88.50833333333334
115,88.50833333333334
116,88.5
117,88.55
118,88.59166666666667
119,88.6
120,88.64166666666667
121,88.65833333333333
122,88.725
123,88.70833333333333
124,88.7
125,88.75
126,88.775
127,88.775
128,88.85833333333333
129,88.83333333333333
130,88.91666666666667
131,88.93333333333334
132,88.9
133,88.925
134,88.93333333333334
135,88.975
136,88.96666666666667
137,88.99166666666666
138,88.975
139,89.04166666666667
140,89.03333333333333
141,89.05833333333334
142,89.11666666666666
143,89.10833333333333
144,89.10833333333333
145,89.13333333333334
146,89.1
147,89.125
148,89.13333333333334
149,89.16666666666667
150,89.14166666666667
151,89.175
152,89.16666666666667
153,89.18333333333334
154,89.2
155,89.23333333333333
156,89.25
157,89.25
158,89.25833333333334
159,89.25833333333334
160,89.30833333333334
161,89.29166666666667
162,89.35833333333333
163,89.40833333333333
164,89.46666666666667
165,89.41666666666667
166,89.45833333333333
167,89.43333333333334
168,89.5
169,89.51666666666667
170,89.525
171,89.55
172,89.6
173,89.58333333333333
174,89.63333333333334
175,89.64166666666667
176,89.64166666666667
177,89.675
178,89.69166666666666
179,89.70833333333333
180,89.725
181,89.76666666666667
182,89.8
183,89.78333333333333
184,89.83333333333333
185,89.80833333333334
186,89.83333333333333
187,89.80833333333334
188,89.875
189,89.88333333333334
190,89.88333333333334
191,89.91666666666667
192,89.91666666666667
193,89.96666666666667
194,89.99166666666666
195,89.975
196,90.00833333333334
197,90.025
198,90.00833333333334
199,90.01666666666667
200,90.04166666666667
