Dataset,Epsilon,FinalGlobalAccuracy,MIA_InSet_Accuracy,MIA_OutSet_Accuracy,MIA_Overall_Accuracy
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",95.23,65.80,69.70,6775.00
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",97.83,64.70,69.90,67.30
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",66.31,77.10,75.10,76.10
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",90.55,67.20,70.70,68.95
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",92.13,75.30,59.70,67.50
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",92.53,62.00,68.80,65.40
mnist,"[None, 0.1, 0.5, 1.0, 5.0, 10.0]",92.56,70.20,68.80,69.50
