Round,Accuracy
1,26.37
2,29.26
3,30.55
4,32.93
5,34.16
6,35.16
7,36.01
8,36.64
9,36.91
10,37.67
11,38.4
12,38.67
13,39.42
14,39.79
15,40.13
16,40.27
17,40.61
18,40.88
19,41.3
20,41.64
