Round,Accuracy
1,13.91
2,11.631666666666666
3,12.705
4,17.308333333333334
5,15.598333333333333
6,13.706666666666667
7,12.106666666666667
8,13.235
9,13.631666666666666
10,11.715
11,16.383333333333333
12,13.371666666666666
13,14.435
14,14.315
15,12.071666666666667
16,15.141666666666667
17,14.02
18,17.368333333333332
19,21.161666666666665
20,22.05666666666667
21,20.996666666666666
22,20.47
23,18.72833333333333
24,17.843333333333334
25,16.986666666666668
26,17.581666666666667
27,18.05666666666667
28,17.023333333333333
29,18.49
30,19.903333333333332
31,22.08
32,23.511666666666667
33,21.006666666666668
34,19.958333333333332
35,17.346666666666668
36,17.475
37,18.008333333333333
38,18.513333333333332
39,19.30666666666667
40,18.066666666666666
41,17.258333333333333
42,17.616666666666667
43,19.463333333333335
44,17.793333333333333
45,19.856666666666666
46,19.128333333333334
47,21.173333333333332
48,21.023333333333333
49,20.175
50,20.323333333333334
51,20.226666666666667
52,21.145
53,22.22833333333333
54,23.115
55,23.551666666666666
56,24.946666666666665
57,26.113333333333333
58,27.496666666666666
59,28.333333333333332
60,25.076666666666668
61,26.18
62,24.598333333333333
63,23.173333333333332
64,22.403333333333332
65,22.426666666666666
66,25.56833333333333
67,27.41
68,27.5
69,28.296666666666667
70,27.673333333333332
71,29.613333333333333
72,28.801666666666666
73,28.783333333333335
74,30.053333333333335
75,29.031666666666666
76,26.941666666666666
77,23.863333333333333
78,25.916666666666668
79,26.465
80,21.791666666666668
81,21.68
82,23.235
83,26.365
84,27.628333333333334
85,28.166666666666668
86,29.343333333333334
87,30.85
88,28.34
89,29.111666666666668
90,27.19333333333333
91,27.865
92,28.576666666666668
93,28.36
94,26.655
95,26.94333333333333
96,26.648333333333333
97,25.921666666666667
98,24.993333333333332
99,24.505
100,24.755
101,25.628333333333334
102,25.425
103,23.7
104,23.855
105,22.596666666666668
106,23.288333333333334
107,25.575
108,25.815
109,26.765
110,24.395
111,22.923333333333332
112,24.33
113,23.275
114,24.825
115,24.508333333333333
116,23.025
117,23.33
118,24.073333333333334
119,25.926666666666666
120,26.738333333333333
121,24.541666666666668
122,24.161666666666665
123,26.701666666666668
124,25.403333333333332
125,25.701666666666668
126,25.04
127,24.263333333333332
128,24.80666666666667
129,23.351666666666667
130,26.006666666666668
131,25.891666666666666
132,25.451666666666668
133,25.18
134,26.108333333333334
135,26.211666666666666
136,28.52
137,28.77166666666667
138,29.19
139,28.526666666666667
140,26.316666666666666
141,26.515
142,26.893333333333334
143,26.081666666666667
144,26.625
145,25.906666666666666
146,26.27
147,28.22
148,29.468333333333334
149,31.51
150,30.403333333333332
151,30.54
152,30.085
153,31.418333333333333
154,31.381666666666668
155,32.21
156,32.30833333333333
157,33.245
158,33.016666666666666
159,31.73
160,31.613333333333333
161,31.623333333333335
162,30.536666666666665
163,32.80166666666667
164,32.623333333333335
165,32.935
166,31.99
167,32.26
168,31.323333333333334
169,31.37
170,31.635
171,32.785
172,33.95333333333333
173,32.586666666666666
174,32.71666666666667
175,33.755
176,30.296666666666667
177,31.095
178,32.343333333333334
179,32.815
180,33.721666666666664
181,33.278333333333336
182,35.46
183,35.47666666666667
184,34.88666666666666
185,36.641666666666666
186,36.91
187,37.225
188,37.156666666666666
189,37.82833333333333
190,36.87833333333333
191,37.696666666666665
192,36.873333333333335
193,36.76
194,34.48166666666667
195,35.87
196,35.45166666666667
197,35.08
198,34.583333333333336
199,32.45
200,33.208333333333336
201,32.97666666666667
202,33.39333333333333
203,31.936666666666667
204,31.34
205,32.58
206,34.026666666666664
207,34.08
208,35.72833333333333
209,33.388333333333335
210,33.495
211,34.545
212,35.031666666666666
213,35.348333333333336
214,36.25
215,35.88666666666666
216,36.776666666666664
217,37.50833333333333
218,36.945
219,36.58166666666666
220,35.483333333333334
221,35.626666666666665
222,34.43333333333333
223,34.846666666666664
224,35.82333333333333
225,35.47833333333333
226,33.55833333333333
227,33.5
228,34.61833333333333
229,35.82333333333333
230,36.50333333333333
231,35.276666666666664
232,36.586666666666666
233,36.68833333333333
234,35.735
235,35.498333333333335
236,35.24
237,34.696666666666665
238,34.281666666666666
239,35.82
240,34.85333333333333
241,34.47
242,36.26166666666666
243,35.06166666666667
244,34.026666666666664
245,34.93333333333333
246,35.13
247,35.60666666666667
248,35.651666666666664
249,36.38166666666667
250,35.735
