Round,Accuracy
1,29.432
2,31.564
3,33.81
4,34.992
5,36.178
6,37.148
7,37.784
8,38.272
9,38.798
10,39.334
11,39.796
12,40.388
13,40.668
14,41.29
15,41.794
16,42.362
17,42.666
18,43.154
19,43.516
20,44.016
21,44.452
22,44.738
23,45.282
24,45.41
25,45.872
26,46.218
27,46.476
28,46.77
29,46.992
30,47.23
31,47.698
32,47.76
33,48.008
34,48.216
35,48.368
36,48.568
37,48.8
38,48.814
39,49.276
40,49.31
41,49.334
42,49.716
43,49.65
44,49.96
45,50.278
46,50.32
47,50.408
48,50.552
49,50.746
50,50.798
51,51.036
52,51.242
53,51.364
54,51.634
55,51.63
56,51.848
57,51.788
58,52.072
59,52.188
60,52.26
61,52.604
62,52.608
63,52.656
64,52.874
65,52.908
66,53.252
67,53.016
68,53.354
69,53.308
70,53.586
71,53.646
72,53.814
73,54.006
74,54.074
75,53.91
76,54.186
77,54.41
78,54.51
79,54.616
80,54.644
81,54.838
82,55.0
83,54.878
84,55.092
85,55.15
86,55.238
87,55.278
88,55.68
89,55.504
90,55.792
91,55.758
92,55.786
93,56.156
94,56.066
95,56.296
96,56.424
97,56.52
98,56.682
99,56.584
100,56.594
