Round,Accuracy
1,6.408333333333333
2,11.766666666666667
3,17.625
4,9.833333333333334
5,20.516666666666666
6,20.908333333333335
7,19.8
8,24.316666666666666
9,13.916666666666666
10,22.283333333333335
11,19.891666666666666
12,18.425
13,23.375
14,25.533333333333335
15,26.466666666666665
16,25.075
17,24.8
18,24.441666666666666
19,24.383333333333333
20,27.708333333333332
21,24.833333333333332
22,26.266666666666666
23,22.408333333333335
24,29.6
25,35.233333333333334
26,31.575
27,33.6
28,30.216666666666665
29,29.133333333333333
30,29.45
31,30.241666666666667
32,23.833333333333332
33,31.65
34,33.19166666666667
35,29.658333333333335
36,30.825
37,34.541666666666664
38,35.56666666666667
39,33.541666666666664
40,37.391666666666666
41,33.725
42,32.94166666666667
43,35.45
44,36.34166666666667
45,36.69166666666667
46,28.908333333333335
47,32.766666666666666
48,33.325
49,31.766666666666666
50,34.5
51,34.0
52,34.49166666666667
53,37.175
54,33.0
55,32.81666666666667
56,35.69166666666667
57,38.5
58,31.075
59,34.725
60,40.99166666666667
61,40.96666666666667
62,38.875
63,37.86666666666667
64,40.03333333333333
65,35.65833333333333
66,33.025
67,31.458333333333332
68,33.90833333333333
69,34.583333333333336
70,38.416666666666664
71,39.3
72,37.50833333333333
73,37.61666666666667
74,39.88333333333333
75,37.30833333333333
76,34.083333333333336
77,35.36666666666667
78,36.3
79,39.791666666666664
80,37.88333333333333
81,39.6
82,36.25833333333333
83,39.766666666666666
84,37.94166666666667
85,39.99166666666667
86,38.958333333333336
87,39.53333333333333
88,40.28333333333333
89,41.05
90,39.675
91,37.825
92,36.525
93,37.45
94,39.90833333333333
95,35.30833333333333
96,35.81666666666667
97,38.175
98,40.30833333333333
99,44.06666666666667
100,44.88333333333333
101,43.49166666666667
102,44.86666666666667
103,49.95
104,49.225
105,49.325
106,48.78333333333333
107,50.59166666666667
108,49.15
109,46.88333333333333
110,47.68333333333333
111,45.75833333333333
112,47.03333333333333
113,44.925
114,44.858333333333334
115,45.65833333333333
116,43.71666666666667
117,40.675
118,40.041666666666664
119,40.06666666666667
120,37.86666666666667
121,39.19166666666667
122,43.03333333333333
123,43.4
124,43.525
125,44.99166666666667
126,43.63333333333333
127,40.766666666666666
128,40.166666666666664
129,41.31666666666667
130,41.208333333333336
131,38.766666666666666
132,39.85
133,38.50833333333333
134,37.24166666666667
135,38.81666666666667
136,34.94166666666667
137,32.74166666666667
138,31.85
139,34.85
140,36.858333333333334
141,38.38333333333333
142,37.7
143,36.15833333333333
144,35.94166666666667
145,36.608333333333334
146,37.68333333333333
147,37.65
148,39.50833333333333
149,38.358333333333334
150,36.375
