Round,Accuracy
1,65.25833333333334
2,70.94166666666666
3,76.26666666666667
4,79.65166666666667
5,82.00833333333334
6,84.14166666666667
7,85.33166666666666
8,85.65
9,86.15666666666667
10,86.56666666666666
11,86.795
12,86.93
13,87.18333333333334
14,87.105
15,87.13833333333334
16,87.38666666666667
17,87.49
18,87.49333333333334
19,87.71166666666667
20,87.78833333333333
21,87.71333333333334
22,87.96333333333334
23,87.895
24,87.99333333333334
25,87.96333333333334
26,88.04833333333333
27,88.27666666666667
28,87.91333333333333
29,87.91666666666667
30,87.92
31,88.08833333333334
32,88.21333333333334
33,87.96833333333333
34,88.135
35,88.145
36,88.14833333333333
37,88.17833333333333
38,88.21166666666667
39,88.16666666666667
40,88.20333333333333
41,88.255
42,88.22333333333333
43,88.22333333333333
44,88.05166666666666
45,88.13833333333334
46,88.24333333333334
47,88.235
48,88.37833333333333
49,88.29
50,88.32666666666667
51,88.205
52,88.09666666666666
53,88.15333333333334
54,88.015
55,88.16333333333333
56,88.12166666666667
57,88.395
58,88.30166666666666
59,88.52333333333333
60,88.41166666666666
61,88.42
62,88.31333333333333
63,88.38333333333334
64,88.36666666666666
65,88.36666666666666
66,88.30333333333333
67,88.08333333333333
68,88.12
69,88.13333333333334
70,88.04
71,88.22666666666667
72,88.22166666666666
73,88.22
74,87.99833333333333
75,87.95333333333333
76,87.96166666666667
77,87.88166666666666
78,88.10333333333334
79,88.29833333333333
80,88.53833333333333
81,88.21333333333334
82,88.43
83,88.31333333333333
84,88.22666666666667
85,88.355
86,88.42833333333333
87,88.405
88,88.20666666666666
89,87.98833333333333
90,88.18833333333333
91,88.045
92,87.86666666666666
93,88.09666666666666
94,87.95166666666667
95,87.99833333333333
96,88.04
97,88.06
98,87.89166666666667
99,88.00333333333333
100,88.11833333333334
