1 31.97
2 45.72
3 50.99
4 53.94
5 54.23
6 52.45
7 58.78
8 55.33
9 57.54
10 57.11
11 57.97
12 56.86
13 59.48
14 60.54
15 59.89
16 60.21
17 60.01
18 59.53
19 59.89
20 60.03
21 58.99
22 60.22
23 60.5
24 60.68
25 59.43
26 60.48
27 60.22
28 59.53
29 60.04
30 59.89
31 59.21
32 58.64
33 59.3
34 59.31
35 59.27
36 55.63
37 56.63
38 57.93
39 59.18
40 57.84
41 58.72
42 57.22
43 58.77
44 58.95
45 57.65
46 58.37
47 57.9
48 58.36
49 58.01
50 58.41
51 58.24
52 57.34
53 57.81
54 57.76
55 54.42
56 51.21
57 56.84
58 57.72
59 54.94
60 57.29
61 57.29
62 57.18
63 57.03
64 56.56
65 56.09
66 55.02
67 57.53
68 52.9
69 57.49
70 56.46
71 56.12
72 57.73
73 57.16
74 56.82
75 56.53
76 55.29
77 57.35
78 56.87
79 57.01
80 57.39
81 54.32
82 55.64
83 56.63
84 56.3
85 56.89
86 56.3
87 55.99
88 56.1
89 55.73
90 56.38
91 56.04
92 55.1
93 57.35
94 56.35
95 55.44
96 55.75
97 56.73
98 57.64
99 56.36
100 56.58
101 56.18
102 56.33
103 56.83
104 56.08
105 57.22
106 56.53
107 55.56
108 55.96
109 56.38
110 54.64
111 56.3
112 54.16
113 54.78
114 56.48
115 55.38
116 56.68
117 56.4
118 56.91
119 56.97
120 56.33
121 56.79
122 56.11
123 56.25
124 56.85
125 55.71
