Round,Accuracy
1,13.84
2,15.916666666666666
3,11.091666666666667
4,12.538333333333334
5,13.061666666666667
6,13.866666666666667
7,10.99
8,14.863333333333333
9,16.67
10,18.05666666666667
11,20.191666666666666
12,16.616666666666667
13,18.91
14,19.903333333333332
15,18.608333333333334
16,14.415
17,16.791666666666668
18,18.245
19,14.805
20,17.438333333333333
21,18.088333333333335
22,16.18
23,15.088333333333333
24,15.843333333333334
25,16.266666666666666
26,17.076666666666668
27,13.56
28,13.751666666666667
29,14.485
30,16.25
31,18.485
32,20.423333333333332
33,23.336666666666666
34,23.62
35,23.838333333333335
36,20.848333333333333
37,22.565
38,23.583333333333332
39,23.005
40,23.87
41,21.201666666666668
42,20.573333333333334
43,22.938333333333333
44,24.83
45,25.286666666666665
46,27.378333333333334
47,24.121666666666666
48,26.26
49,25.355
50,27.848333333333333
51,27.52
52,27.148333333333333
53,28.453333333333333
54,26.935
55,28.71
56,28.3
57,27.975
58,25.798333333333332
59,26.098333333333333
60,25.593333333333334
61,24.548333333333332
62,23.85333333333333
63,22.06833333333333
64,21.78
65,24.455
66,26.663333333333334
67,25.298333333333332
68,24.555
69,25.615
70,25.383333333333333
71,24.723333333333333
72,24.886666666666667
73,23.861666666666668
74,23.941666666666666
75,25.628333333333334
76,25.67
77,26.655
78,26.213333333333335
79,25.34
80,24.986666666666668
81,23.811666666666667
82,24.158333333333335
83,23.128333333333334
84,23.09
85,25.791666666666668
86,25.016666666666666
87,25.63
88,27.485
89,27.915
90,26.76
91,25.22833333333333
92,25.185
93,24.571666666666665
94,24.658333333333335
95,25.083333333333332
96,25.496666666666666
97,24.72
98,23.746666666666666
99,25.1
100,25.888333333333332
