1 35.07
2 44.85
3 48.79
4 51.85
5 54.42
6 56.58
7 57.38
8 58.88
9 59.79
10 61.36
11 58.79
12 60.34
13 59.66
14 59.75
15 60.51
16 62.97
17 62.65
18 62.74
19 63.07
20 60.71
21 61.42
22 62.09
23 59.53
24 62.32
25 58.5
26 59.56
27 59.78
28 59.88
29 60.4
30 60.26
31 60.85
32 59.65
33 57.96
34 61.08
35 58.62
36 59.21
37 60.02
38 58.28
39 60.33
40 60.46
41 59.47
42 57.83
43 59.26
44 59.24
45 59.41
46 58.59
47 59.4
48 57.43
49 59.13
50 59.73
51 58.49
52 59.46
53 58.96
54 59.4
55 58.09
56 57.98
57 58.52
58 58.54
59 58.33
60 57.7
61 56.26
62 57.55
63 57.72
64 58.72
65 58.81
66 55.49
67 57.27
68 56.82
69 58.15
70 57.01
71 57.34
72 57.05
73 56.42
74 57.46
75 56.23
76 57.27
77 57.28
78 58.27
79 56.73
80 56.8
81 56.14
82 57.83
83 56.53
84 57.97
85 57.06
86 57.18
87 56.97
88 58.11
89 57.23
90 57.6
91 56.84
92 57.25
93 54.16
94 57.97
95 57.45
96 56.61
97 56.51
98 57.32
99 56.53
100 57.11
101 57.23
102 56.38
103 56.17
104 56.34
105 57.2
106 56.8
107 57.31
108 55.66
109 56.86
110 57.06
111 55.09
112 57.43
113 56.55
114 57.28
115 57.2
116 54.01
117 57.38
118 56.68
119 56.54
120 53.48
121 57.06
122 55.76
123 56.29
124 56.83
125 56.98
