Round,Accuracy
1,24.211111111111112
2,28.655555555555555
3,30.1
4,32.3
5,33.62222222222222
6,34.4
7,35.833333333333336
8,36.48888888888889
9,37.18888888888889
10,37.74444444444445
11,38.144444444444446
12,38.28888888888889
13,38.53333333333333
14,39.32222222222222
15,39.6
16,39.888888888888886
17,40.21111111111111
18,40.644444444444446
19,41.266666666666666
20,41.27777777777778
21,41.955555555555556
22,42.12222222222222
23,42.577777777777776
24,42.544444444444444
25,42.53333333333333
26,42.855555555555554
27,42.96666666666667
28,43.2
29,43.53333333333333
30,43.7
31,43.87777777777778
32,44.21111111111111
33,44.522222222222226
34,44.544444444444444
35,44.67777777777778
36,44.93333333333333
37,45.077777777777776
38,44.74444444444445
39,45.3
40,45.22222222222222
41,45.044444444444444
42,45.3
43,45.58888888888889
44,45.7
45,45.63333333333333
46,45.91111111111111
47,45.888888888888886
48,45.955555555555556
49,46.12222222222222
50,46.67777777777778
51,46.84444444444444
52,46.611111111111114
53,46.72222222222222
54,47.12222222222222
55,47.27777777777778
56,47.31111111111111
57,47.37777777777778
58,47.611111111111114
59,47.37777777777778
60,47.91111111111111
61,47.71111111111111
62,47.75555555555555
63,47.67777777777778
64,47.87777777777778
65,48.022222222222226
66,48.1
67,48.28888888888889
68,48.63333333333333
69,48.48888888888889
70,48.477777777777774
71,48.43333333333333
72,48.666666666666664
73,48.855555555555554
74,48.888888888888886
75,49.03333333333333
76,49.111111111111114
77,49.2
78,49.21111111111111
79,49.233333333333334
80,49.34444444444444
81,49.577777777777776
82,49.522222222222226
83,49.78888888888889
84,49.84444444444444
85,49.733333333333334
86,49.666666666666664
87,49.91111111111111
88,50.34444444444444
89,49.78888888888889
90,50.31111111111111
91,50.355555555555554
92,50.0
93,50.03333333333333
94,50.044444444444444
95,50.56666666666667
96,50.53333333333333
97,50.044444444444444
98,50.34444444444444
99,50.41111111111111
100,50.855555555555554
101,50.71111111111111
102,50.75555555555555
103,50.63333333333333
104,50.9
105,50.96666666666667
106,51.21111111111111
107,51.266666666666666
108,51.08888888888889
109,51.27777777777778
110,51.111111111111114
111,50.74444444444445
112,51.2
113,50.888888888888886
114,51.34444444444444
115,51.31111111111111
116,51.31111111111111
117,51.044444444444444
118,51.12222222222222
119,51.077777777777776
120,51.31111111111111
121,51.6
122,51.46666666666667
123,51.666666666666664
124,51.63333333333333
125,51.8
126,52.044444444444444
127,51.888888888888886
128,52.022222222222226
129,51.766666666666666
130,51.96666666666667
131,52.166666666666664
132,52.06666666666667
133,52.06666666666667
134,52.022222222222226
135,52.22222222222222
136,52.4
137,52.12222222222222
138,52.74444444444445
139,52.44444444444444
140,52.28888888888889
141,52.2
142,52.355555555555554
143,52.144444444444446
144,52.56666666666667
145,52.333333333333336
146,52.34444444444444
147,52.63333333333333
148,52.68888888888889
149,52.78888888888889
150,52.94444444444444
