Round,Accuracy
1,12.133333333333333
2,12.444444444444445
3,12.755555555555556
4,13.077777777777778
5,14.1
6,15.544444444444444
7,17.155555555555555
8,17.91111111111111
9,18.622222222222224
10,19.333333333333332
11,19.966666666666665
12,20.044444444444444
13,20.68888888888889
14,21.133333333333333
15,21.322222222222223
16,21.77777777777778
17,22.07777777777778
18,22.3
19,22.466666666666665
20,22.733333333333334
21,23.122222222222224
22,23.522222222222222
23,23.81111111111111
24,24.044444444444444
25,24.466666666666665
26,24.6
27,24.822222222222223
28,25.011111111111113
29,25.266666666666666
30,25.522222222222222
31,25.677777777777777
32,25.822222222222223
33,25.955555555555556
34,25.91111111111111
35,26.055555555555557
36,26.177777777777777
37,26.377777777777776
38,26.466666666666665
39,26.7
40,26.733333333333334
41,26.966666666666665
42,27.122222222222224
43,27.133333333333333
44,27.22222222222222
45,27.333333333333332
46,27.38888888888889
47,27.511111111111113
48,27.68888888888889
49,27.788888888888888
50,27.88888888888889
