Round,Accuracy
1,66.06666666666666
2,75.67777777777778
3,80.7
4,84.32222222222222
5,86.22222222222223
6,87.2
7,87.85555555555555
8,88.32222222222222
9,88.63333333333334
10,88.94444444444444
11,89.16666666666667
12,89.45555555555555
13,89.67777777777778
14,89.72222222222223
15,89.95555555555555
16,90.18888888888888
17,90.35555555555555
18,90.43333333333334
19,90.5
20,90.71111111111111
21,90.71111111111111
22,90.81111111111112
23,90.86666666666666
24,90.97777777777777
25,91.04444444444445
26,91.12222222222222
27,91.18888888888888
28,91.3
29,91.38888888888889
30,91.5
31,91.42222222222222
32,91.54444444444445
33,91.6
34,91.76666666666667
35,91.74444444444444
36,91.77777777777777
37,91.84444444444445
38,91.78888888888889
39,91.91111111111111
40,91.95555555555555
41,92.1
42,92.2
43,92.24444444444444
44,92.32222222222222
45,92.3
46,92.3
47,92.33333333333333
48,92.36666666666666
49,92.44444444444444
50,92.58888888888889
51,92.53333333333333
52,92.54444444444445
53,92.61111111111111
54,92.67777777777778
55,92.71111111111111
56,92.7
57,92.68888888888888
58,92.74444444444444
59,92.72222222222223
60,92.78888888888889
61,92.88888888888889
62,92.83333333333333
63,92.94444444444444
64,92.93333333333334
65,92.95555555555555
66,93.03333333333333
67,93.12222222222222
68,93.22222222222223
69,93.21111111111111
70,93.17777777777778
71,93.24444444444444
72,93.3
73,93.25555555555556
74,93.27777777777777
75,93.32222222222222
76,93.32222222222222
77,93.38888888888889
78,93.43333333333334
79,93.36666666666666
80,93.45555555555555
81,93.44444444444444
82,93.43333333333334
83,93.5
84,93.5
85,93.5111111111111
86,93.55555555555556
87,93.53333333333333
88,93.68888888888888
89,93.7
90,93.64444444444445
91,93.75555555555556
92,93.72222222222223
93,93.76666666666667
94,93.73333333333333
95,93.77777777777777
96,93.82222222222222
97,93.93333333333334
98,93.86666666666666
99,93.84444444444445
100,93.95555555555555
101,93.97777777777777
102,93.96666666666667
103,93.94444444444444
104,93.94444444444444
105,94.0111111111111
106,93.9888888888889
107,94.06666666666666
108,94.03333333333333
109,94.03333333333333
110,94.07777777777778
111,94.1
112,94.17777777777778
113,94.14444444444445
114,94.2
115,94.24444444444444
116,94.26666666666667
117,94.3
118,94.31111111111112
119,94.25555555555556
120,94.26666666666667
121,94.31111111111112
122,94.36666666666666
123,94.37777777777778
124,94.26666666666667
125,94.3
126,94.23333333333333
127,94.4
128,94.34444444444445
129,94.35555555555555
130,94.4
131,94.42222222222222
132,94.43333333333334
133,94.52222222222223
134,94.4888888888889
135,94.47777777777777
136,94.55555555555556
137,94.44444444444444
138,94.45555555555555
139,94.4888888888889
140,94.47777777777777
141,94.61111111111111
142,94.67777777777778
143,94.68888888888888
144,94.7
145,94.68888888888888
146,94.75555555555556
147,94.86666666666666
148,94.91111111111111
149,94.9
150,94.95555555555555
